timepoint,date,river,side,treatment,transect,point,point.label,start.time,end.time,surveyors,x-coord.,y-coord.,Ground/stem,location,What is the 'other',Canopy openness- towards river,Canopy openness- right,Canopy openness- away from river,Canopy openness- left,flagged?,Typed up by?,Date typed up?,% cover bare ground,% cover other (F),% cover other (B),A Biss,A Cary,A Compresus,A Conyzoides,A Diantum,A Fine,A Glophyllum,A Hisferah,A Houei,A Iregularis,A Longifolium,A Longlonaum,A Longsimum,A Mermnthn,A Micrantha,B Borinquensis,B Latifolia,B Latifriu,B Latirawa,B Latrfolin,C Bracteata,C Dentata,C Fruticosa,C Gvi,C Haitata,C Hastata,C High,C Hirra,C Hirta,C Hirtus,C Kyllingia,C lappacan,C Lappacea,C Lappacer,C Lappaeul,C Lappocao,C Laypacra,C Oxyphyllum,C Patens,C Percusum,C Pluti,C Postrata,C Prosatata,C Prostata,C Prostrata,C Rity,C Rotundus,C Ruti,C Ruty,C Ruwduspremar,C Rvhdnpermal,C Sushastata,C wridusperme,C wtiduspermal,C wwduspirmal,C. Puti,D Adcenden,D Daf,D Denticulata,D Dentiwlata,D Dentrifolata,D Leatv,D Linariaefolia,D Pell,E Gunieensis,E Indica,E Scraber,E Sumatrana,E Union,empty,Erechtites,Eroctiter,F Erectus,F Pulmonaris,F Purpureum,G Percusum,G Perewwm,G Porasum,G Scraber,H Corym,H Ferri,H Perti,H Verpalata,H Verticilata,I Cilimstrica,I Cilindrica,Javalia,Kacangan,Kaeangrr,L Cruss,L Fusilla,L Octovalvis,M Afinis,M Bracteata,M Bungtutrm,M Miaontha,M Micrantha,M Pinetatum,M Pong,M Pucica,M Pudrca,M Punchtatum,N Affrne,N Bifferaln,N Bisserata,N Bracteata,null,O Glaberrimum,O Gratisimum,O Rectetes,P Amarus,P Cinerea,P Conjugahum,P Conougotoin,P Elongata,P Faekda,P Faramia,P Farmica,P Fauamica,P Favamica,P Foetida,P Foppen,P Foramica,P Forhdi,P Forhln,P Forleda,P Fornes,P Javanica,P Karniguwr,P Minima,P Pellucide,P Pelumia,P Poetida,P Purpureum,P Repens,Paream,Parram,R Latifolia,Rumput Tebu,S Acuta,S Dulcis,S Dulmatensis,S Etilis,S Palustris,S Sumatrana,S Swmawhaugil,S Tortuum,T Caludrica,T Lembut,Talasan,V Cinerea,V Cus,V Ellongata,V Ellongata ,V Foponica,V Iscolo,V Japonica,V Javanica,V jrparica,V Longarm,V Piluthis,V Vitata,percent.total,num.species
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,15,17,G,FP,null,42,26,34,22,,Tantri yolanda,11/10/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,22,24,MD,S,null,81,22,14,12,,Tantri yolanda,11/10/2018,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,1,15,MD,S,null,23,15,17,24,,Tantri yolanda,11/10/2018,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,100,3
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,0,2,MD,S,null,16,20,17,14,,Tantri yolanda,11/10/2018,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,100,1
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,12,6,MD,S,null,14,19,17,10,,Tantri yolanda,11/10/2018,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,100,2
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,9,20,G,W,null,36,17,14,9,,Tantri yolanda,11/10/2018,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,7,20,G,W,null,15,22,26,8,,Tantri yolanda,11/10/2018,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,17,22,G,W,null,78,14,9,7,,Tantri yolanda,11/10/2018,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,22,4,G,FP,null,12,18,21,4,,Tantri yolanda,11/10/2018,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3
baseline,16/11/2017,PLPE,East,A,150m,buffer.core,East,10:18:00,11:46:00,Rio dan Falchdian,25,0,MD,S,null,20,26,23,10,,Tantri yolanda,11/10/2018,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,23,22,C,MD,null,35,23,18,37,,Tantri yolanda,11/10/2018,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,24,12,C,MD,null,25,34,23,28,,Tantri yolanda,11/10/2018,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,23,2,HP,MD,null,29,31,22,31,,Tantri yolanda,11/10/2018,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,17,17,HP,MD,null,21,14,11,19,,Tantri yolanda,11/10/2018,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,21,23,HP,MD,null,28,30,25,26,,Tantri yolanda,11/10/2018,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,20,11,G,C,null,6,3,8,10,,Tantri yolanda,11/10/2018,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,1,3,G,C,null,10,10,8,18,,Tantri yolanda,11/10/2018,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,0,11,G,W,null,9,8,11,9,,Tantri yolanda,11/10/2018,0,10,0,70,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,7,5,G,FP,null,22,9,6,27,,Tantri yolanda,11/10/2018,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4
baseline,29/11/2017,PLPE,West,A,250m,buffer.core,A-West-250m-BufferCore,08:21:00,09:29:00,Adit Dan Eko,16,0,G,W,null,13,35,9,20,,Tantri yolanda,11/10/2018,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,100,3
baseline,23/11/2017,PLPE,East,A,350m,buffer.core,East,08:30:00,08:10:00,Rio dan Falchdian,0,12,MD,S,null,16,23,31,19,,Tantri yolanda,12/10/2018,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,2
baseline,23/11/2017,PLPE,East,A,350m,buffer.core,East,08:30:00,08:10:00,Rio dan Falchdian,22,2,G,C,null,6,19,11,14,,Tantri yolanda,12/10/2018,0,0,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9
baseline,23/11/2017,PLPE,East,A,350m,buffer.core,East,08:30:00,08:10:00,Rio dan Falchdian,12,23,MD,S,null,43,13,27,21,,Tantri yolanda,12/10/2018,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,100,3
baseline,23/11/2017,PLPE,East,A,350m,buffer.core,East,08:30:00,08:10:00,Rio dan Falchdian,19,16,G,W,null,38,24,21,42,,Tantri yolanda,12/10/2018,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,100,2
baseline,23/11/2017,PLPE,East,A,350m,buffer.core,East,08:30:00,08:10:00,Rio dan Falchdian,25,9,G,W,null,25,21,18,17,,Tantri yolanda,12/10/2018,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
baseline,23/11/2017,PLPE,East,A,350m,buffer.core,East,08:30:00,08:10:00,Rio dan Falchdian,14,13,G,W,null,44,17,23,41,,Tantri yolanda,12/10/2018,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,100,3
baseline,23/11/2017,PLPE,East,A,350m,buffer.core,East,08:30:00,08:10:00,Rio dan Falchdian,15,8,G,C,null,30,9,27,20,,Tantri yolanda,12/10/2018,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6
