timepoint,date.collected,river,treatment,side,transect,point,og.site.label,surveyors,,palm.name,palm.num,time,frond.length.cm,.whole.palm.herbivory,.cut.frond.herbivory,level.0,level.1,level.2,level.3,area.original,area.filled,herbivory
baseline,10/01/2018,PLPE,D,East,150m,buffer.core,D-East-150m-BufferCore,"Agung, Dani, Syamsul H",,X,,08:29,,10,5,15,5,0,0,NA,NA,NA
baseline,10/01/2018,PLPE,D,East,150m,buffer.core,D-East-150m-BufferCore,"Agung, Dani, Syamsul H",,Y,,08:43,,5,5,11,5,4,0,NA,NA,NA
baseline,10/01/2018,PLPE,D,East,150m,buffer.core,D-East-150m-BufferCore,"Agung, Dani, Syamsul H",,"Not Z, because it was too tall",,08:55,,5,5,15,5,0,0,NA,NA,NA
baseline,10/01/2018,PLPE,D,East,150m,buffer.core,D-East-150m-BufferCore,"Agung, Dani, Syamsul H",2,X,,08:29,,10,5,15,5,0,0,3941430,3942529,0.027875508
baseline,10/01/2018,PLPE,D,East,150m,buffer.core,D-East-150m-BufferCore,"Agung, Dani, Syamsul H",2,Y,,08:43,,5,5,11,5,4,0,4041689,4086678,1.100869704
baseline,10/01/2018,PLPE,D,East,150m,buffer.core,D-East-150m-BufferCore,"Agung, Dani, Syamsul H",2,"Not Z, because it was too tall",,08:55,,5,5,15,5,0,0,4723514,4724697,0.025038643
baseline,10/01/2018,PLPE,D,East,150m,OP.core,D-East-150m-Opcore,"Agung, Dani, Syamsul H",,Y,,09:58,,15,20,5,9,6,0,NA,NA,NA
baseline,10/01/2018,PLPE,D,East,150m,OP.core,D-East-150m-Opcore,"Agung, Dani, Syamsul H",,X,,10:09,,5,5,17,3,0,0,NA,NA,NA
baseline,10/01/2018,PLPE,D,East,150m,OP.core,D-East-150m-Opcore,"Agung, Dani, Syamsul H",,Z,,10:16,,5,5,14,6,0,0,NA,NA,NA
baseline,10/01/2018,PLPE,D,East,150m,OP.core,D-East-150m-Opcore,"Agung, Dani, Syamsul H",2,Y,,09:58,,15,20,5,9,6,0,4806806,4859821,1.0908838
baseline,10/01/2018,PLPE,D,East,150m,OP.core,D-East-150m-Opcore,"Agung, Dani, Syamsul H",2,X,,10:09,,5,5,17,3,0,0,4861651,4866140,0.092249709
baseline,10/01/2018,PLPE,D,East,150m,OP.core,D-East-150m-Opcore,"Agung, Dani, Syamsul H",2,Z,,10:16,,5,5,14,6,0,0,4725510,4730929,0.114544099
baseline,10/01/2018,PLPE,D,East,150m,OP.edge,D-East-150m-Opedge,"Agung, Dani, Syamsul H",,Y,,09:10,,5,5,12,8,0,0,NA,NA,NA
baseline,10/01/2018,PLPE,D,East,150m,OP.edge,D-East-150m-Opedge,"Agung, Dani, Syamsul H",,"Not X, because it was too tall",,09:25,,10,5,14,6,0,0,NA,NA,NA
baseline,10/01/2018,PLPE,D,East,150m,OP.edge,D-East-150m-Opedge,"Agung, Dani, Syamsul H",,Z,,09:40,,5,5,15,5,0,0,NA,NA,NA
baseline,10/01/2018,PLPE,D,East,150m,OP.edge,D-East-150m-Opedge,"Agung, Dani, Syamsul H",2,Y,,09:10,,5,5,12,8,0,0,4191746,4193051,0.031122922
baseline,10/01/2018,PLPE,D,East,150m,OP.edge,D-East-150m-Opedge,"Agung, Dani, Syamsul H",2,"Not X, because it was too tall",,09:25,,10,5,14,6,0,0,5420637,5426317,0.104675049
baseline,10/01/2018,PLPE,D,East,150m,OP.edge,D-East-150m-Opedge,"Agung, Dani, Syamsul H",2,Z,,09:40,,5,5,15,5,0,0,4726784,4728369,0.033521072
baseline,11/01/2018,PLPE,B,West,250m,buffer.core,B-West-250m-BufferCore,"Agung, Dani, Syamsul H",,Z,,11:15,,5,5,8,12,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,buffer.core,B-West-250m-BufferCore,"Agung, Dani, Syamsul H",,Y,,11:28,,5,5,8,12,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,buffer.core,B-West-250m-BufferCore,"Agung, Dani, Syamsul H",,X,,11:33,,5,5,12,8,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,buffer.core,B-West-250m-BufferCore,"Agung, Dani, Syamsul H",3,Z,,11:15,,5,5,8,12,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,buffer.core,B-West-250m-BufferCore,"Agung, Dani, Syamsul H",3,Y,,11:28,,5,5,8,12,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,buffer.core,B-West-250m-BufferCore,"Agung, Dani, Syamsul H",3,X,,11:33,,5,5,12,8,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,A,East,350m,buffer.core,A-East-350m-BufferCore,"Agung, Dani, Syamsul H",,X,,08:56,,5,5,19,1,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,A,East,350m,buffer.core,A-East-350m-BufferCore,"Agung, Dani, Syamsul H",,Y,,09:06,,5,5,19,1,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,A,East,350m,buffer.core,A-East-350m-BufferCore,"Agung, Dani, Syamsul H",,Z,,09:28,,5,5,9,11,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.core,B-West-250m-Opcore,"Agung, Dani, Syamsul H",,X,,12:44,,5,5,14,4,2,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.core,B-West-250m-Opcore,"Agung, Dani, Syamsul H",,Y,,12:54,,5,5,16,4,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.core,B-West-250m-Opcore,"Agung, Dani, Syamsul H",,Z,,12:58,,5,5,14,5,1,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.core,B-West-250m-Opcore,"Agung, Dani, Syamsul H",3,X,,12:44,,5,5,14,4,2,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.core,B-West-250m-Opcore,"Agung, Dani, Syamsul H",3,Y,,12:54,,5,5,16,4,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.core,B-West-250m-Opcore,"Agung, Dani, Syamsul H",3,Z,,12:58,,5,5,14,5,1,0,NA,NA,NA
baseline,11/01/2018,PLPE,A,East,350m,OP.core,A-East-350m-Opcore,"Agung, Dani, Syamsul H",,X,,10:27,,5,5,8,12,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,A,East,350m,OP.core,A-East-350m-Opcore,"Agung, Dani, Syamsul H",,Y,,10:50,,5,5,9,11,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,A,East,350m,OP.core,A-East-350m-Opcore,"Agung, Dani, Syamsul H",,Z,,10:38,,10,5,8,12,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.edge,B-West-250m-Opedge,"Agung, Dani, Syamsul H",,Y,,11:47,,5,5,13,7,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.edge,B-West-250m-Opedge,"Agung, Dani, Syamsul H",,X,,11:57,,5,5,15,5,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.edge,B-West-250m-Opedge,"Agung, Dani, Syamsul H",,Z,,12:01,,5,5,14,6,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.edge,B-West-250m-Opedge,"Agung, Dani, Syamsul H",3,Y,,11:47,,5,5,13,7,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.edge,B-West-250m-Opedge,"Agung, Dani, Syamsul H",3,X,,11:57,,5,5,15,5,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,B,West,250m,OP.edge,B-West-250m-Opedge,"Agung, Dani, Syamsul H",3,Z,,12:01,,5,5,14,6,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,A,East,350m,OP.edge,A-East-350m-Opedge,"Agung, Dani, Syamsul H",,Z,,09:45,,5,5,16,4,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,A,East,350m,OP.edge,A-East-350m-Opedge,"Agung, Dani, Syamsul H",,Y,,09:59,,5,5,13,7,0,0,NA,NA,NA
baseline,11/01/2018,PLPE,A,East,350m,OP.edge,A-East-350m-Opedge,"Agung, Dani, Syamsul H",,X,,10:11,,5,5,6,14,0,0,NA,NA,NA
baseline,12/01/2018,PLPE,C,West,50m,buffer.core,C-West-50m-BufferCore,"Jhon, Agung, Dani, Syamsul H",,Z,,09:33,,10,5,6,11,3,0,NA,NA,NA
baseline,12/01/2018,PLPE,C,West,50m,buffer.core,C-West-50m-BufferCore,"Jhon, Agung, Dani, Syamsul H",,Y,,09:45,,10,5,15,5,0,0,NA,NA,NA
baseline,12/01/2018,PLPE,C,West,50m,buffer.core,C-West-50m-BufferCore,"Jhon, Agung, Dani, Syamsul H",,X,,09:56,,10,5,10,10,0,0,NA,NA,NA
baseline,12/01/2018,PLPE,C,West,50m,OP.core,C-West-50m-Opcore,"Jhon, Agung, Dani, Syamsul H",,X,,10:18,,5,5,16,4,0,0,NA,NA,NA
baseline,12/01/2018,PLPE,C,West,50m,OP.core,C-West-50m-Opcore,"Jhon, Agung, Dani, Syamsul H",,Y,,10:29,,5,5,12,8,0,0,NA,NA,NA
baseline,12/01/2018,PLPE,C,West,50m,OP.core,C-West-50m-Opcore,"Jhon, Agung, Dani, Syamsul H",,Z,,10:39,,5,5,17,3,0,0,NA,NA,NA
baseline,12/01/2018,PLPE,C,West,50m,OP.edge,C-West-50m-Opedge,"Agung, Dani, Syamsul H",,Y,,08:44,,5,5,14,5,1,0,NA,NA,NA
baseline,12/01/2018,PLPE,C,West,50m,OP.edge,C-West-50m-Opedge,"Agung, Dani, Syamsul H",,X,,08:57,,10,5,9,10,1,0,NA,NA,NA
baseline,12/01/2018,PLPE,C,West,50m,OP.edge,C-West-50m-Opedge,"Agung, Dani, Syamsul H",,Z,,09:09,,5,5,13,7,0,0,NA,NA,NA
baseline,13/01/2018,PLPE,C,West,250m,buffer.core,C-West-250m-BufferCore,"Agung, Dani, Syamsul H",,X,,08:33,,10,10,4,16,0,0,NA,NA,NA
baseline,13/01/2018,PLPE,C,West,250m,buffer.core,C-West-250m-BufferCore,"Agung, Dani, Syamsul H",,Y,,08:46,,5,5,18,2,0,0,NA,NA,NA
baseline,13/01/2018,PLPE,C,West,250m,buffer.core,C-West-250m-BufferCore,"Agung, Dani, Syamsul H",,Z,,08:55,,5,5,13,7,0,0,NA,NA,NA
baseline,13/01/2018,PLPE,D,East,350m,buffer.core,D-East-350m-BufferCore,"Agung, Dani, Syamsul H",,Z,,11:10,,5,5,4,16,0,0,NA,NA,NA
baseline,13/01/2018,PLPE,D,East,350m,buffer.core,D-East-350m-BufferCore,"Agung, Dani, Syamsul H",,X,,11:15,,5,5,14,6,0,0,NA,NA,NA
baseline,13/01/2018,PLPE,D,East,350m,buffer.core,D-East-350m-BufferCore,"Agung, Dani, Syamsul H",,Y,,11:20,,5,5,12,8,0,0,NA,NA,NA
baseline,13/01/2018,PLPE,D,East,350m,buffer.core,D-East-350m-BufferCore,"Agung, Dani, Syamsul H",4,Z,,11:10,,5,5,4,16,0,0,3430081,3431179,0.032000662
