X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
101.278482545,0.949303424,"0","0","0",33.783,2016/11/14 03:41:38+00,,,,,,,,,,,,,,,,,,,,,
101.278500315,0.949341645,"0","0","1",34.745,2016/11/14 03:41:58+00,,,,,,,,,,,,,,,,,,,,,
101.278507356,0.949323205,"0","0","2",34.745,2016/11/14 03:42:14+00,,,,,,,,,,,,,,,,,,,,,
101.278531663,0.949583799,"0","0","3",36.187,2016/11/14 03:42:31+00,,,,,,,,,,,,,,,,,,,,,
101.278643478,0.950440848,"0","0","4",36.667,2016/11/14 03:42:50+00,,,,,,,,,,,,,,,,,,,,,
101.278684465,0.950745782,"0","0","5",36.667,2016/11/14 03:43:04+00,,,,,,,,,,,,,,,,,,,,,
101.278678933,0.950768664,"0","0","6",31.38,2016/11/14 03:43:25+00,,,,,,,,,,,,,,,,,,,,,
101.278679436,0.950768078,"0","0","7",32.822,2016/11/14 03:43:26+00,,,,,,,,,,,,,,,,,,,,,
101.278680945,0.950767994,"0","0","8",37.148,2016/11/14 03:43:28+00,,,,,,,,,,,,,,,,,,,,,
101.278681448,0.950768162,"0","0","9",36.667,2016/11/14 03:43:29+00,,,,,,,,,,,,,,,,,,,,,
101.278679017,0.950752655,"0","0","10",37.148,2016/11/14 03:44:11+00,,,,,,,,,,,,,,,,,,,,,
101.27868413,0.950750979,"0","0","11",37.148,2016/11/14 03:44:32+00,,,,,,,,,,,,,,,,,,,,,
101.279060477,0.949663678,"1","0","0",52.049,2016/11/15 01:50:58+00,,,,,,,,,,,,,,,,,,,,,
101.279158713,0.949660409,"1","0","1",50.607,2016/11/15 01:52:15+00,,,,,,,,,,,,,,,,,,,,,
101.279169023,0.949660577,"1","0","2",50.607,2016/11/15 01:52:17+00,,,,,,,,,,,,,,,,,,,,,
101.279318724,0.949649261,"1","0","3",49.645,2016/11/15 01:52:31+00,,,,,,,,,,,,,,,,,,,,,
