ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxx_WaypointExtension,wptx1_WaypointExtension,ctx_CreationTimeExtension,geometry_wkt
34.178425,2017-09-02 01:52:25+00:00,,,A-EAST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-02T01:52:25Z</ctx:CreationTime>      ,POINT Z (82686.22316528851 103470.74426584989 34.178425)
30.045815,2017-09-06 01:51:22+00:00,,,A-WEST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-06T01:51:22Z</ctx:CreationTime>      ,POINT Z (82674.0664745525 103472.86484021407 30.045815)
30.045815,2017-09-06 01:51:22+00:00,,,A-WEST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-06T01:51:22Z</ctx:CreationTime>      ,POINT Z (82674.0664745525 103472.86484021407 30.045815)
34.178425,2017-09-02 01:52:25+00:00,,,A-EAST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-02T01:52:25Z</ctx:CreationTime>      ,POINT Z (82686.22316528851 103470.74426584989 34.178425)
32.775333,2017-09-02 02:22:36+00:00,,,B-EAST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-02T02:22:36Z</ctx:CreationTime>      ,POINT Z (82991.66802729387 103728.28613417518 32.775333)
26.346569,2017-09-06 02:33:54+00:00,,,B-WEST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-06T02:33:54Z</ctx:CreationTime>      ,POINT Z (82978.73674774152 103731.40099619579 26.346569)
33.406845,2017-09-02 02:52:07+00:00,,,C-EAST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-02T02:52:07Z</ctx:CreationTime>      ,POINT Z (83116.29018585815 104108.09304306116 33.406845)
24.03718,2017-09-06 03:12:35+00:00,,,C-WEST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-06T03:12:35Z</ctx:CreationTime>      ,POINT Z (83099.90445436619 104114.42409312828 24.03718)
37.550003,2017-09-02 03:21:59+00:00,,,D-EAST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-02T03:21:59Z</ctx:CreationTime>      ,POINT Z (83139.6897965513 104505.72288202208 37.550003)
39.304504,2017-09-02 03:46:16+00:00,,,D-EAST-400M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-02T03:46:16Z</ctx:CreationTime>      ,POINT Z (83311.7798118554 104866.63875238568 39.304504)
29.932196,2017-09-06 04:04:33+00:00,,,D-WEST-0M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-06T04:04:33Z</ctx:CreationTime>      ,POINT Z (83130.08989556949 104504.07130144506 29.932196)
30.685257,2017-09-06 04:32:12+00:00,,,D-WEST-400M,,,,,,,,,,"Flag, Blue",user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-06T04:32:12Z</ctx:CreationTime>      ,POINT Z (83297.080742186 104876.96041367066 30.685257)
