X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxx_WaypointExtension
101.254152982,0.934539959,48.912,,,,A-E-150M- OPco,A-E-150M- OPco,A-E-150M- OPco,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252626972,0.935297012,39.54,,,,A-E-150M-BCv 1,A-E-150M-BCv 1,A-E-150M-BCv 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252548015,0.935148988,39.78,,,,A-E-150M-BCv 2,A-E-150M-BCv 2,A-E-150M-BCv 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25275203,0.935060978,39.78,,,,A-E-150M-BCv 3,A-E-150M-BCv 3,A-E-150M-BCv 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252841968,0.935261976,39.54,,,,A-E-150M-BCveg,A-E-150M-BCveg,A-E-150M-BCveg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.252693022,0.935191987,39.78,,,,A-E-150M-Buffe,A-E-150M-Buffe,A-E-150M-Buffe,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254137978,0.934700975,49.153,,,,A-E-150M-OPC 1,A-E-150M-OPC 1,A-E-150M-OPC 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254216013,0.934396042,46.75,,,,A-E-150M-OPC 2,A-E-150M-OPC 2,A-E-150M-OPC 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254330007,0.934577007,47.23,,,,A-E-150M-OPC 3,A-E-150M-OPC 3,A-E-150M-OPC 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254016021,0.934474999,49.874,,,,A-E-150M-OPCve,A-E-150M-OPCve,A-E-150M-OPCve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253068028,0.935195005,42.183,,,,A-E-150M-OPE 1,A-E-150M-OPE 1,A-E-150M-OPE 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253016982,0.934914965,41.943,,,,A-E-150M-OPE 2,A-E-150M-OPE 2,A-E-150M-OPE 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253194008,0.934880013,41.222,,,,A-E-150M-OPE 3,A-E-150M-OPE 3,A-E-150M-OPE 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25312997,0.934990989,41.703,,,,A-E-150M-OPedg,A-E-150M-OPedg,A-E-150M-OPedg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253257962,0.93507397,41.943,,,,A-E-150M-OPEve,A-E-150M-OPEve,A-E-150M-OPEve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254275022,0.936232014,39.059,,,,A-E-350M-BCv 1,A-E-350M-BCv 1,A-E-350M-BCv 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254064972,0.936031016,39.059,,,,A-E-350M-BCv 2,A-E-350M-BCv 2,A-E-350M-BCv 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.253946032,0.936238971,39.059,,,,A-E-350M-BCv 3,A-E-350M-BCv 3,A-E-350M-BCv 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254155999,0.936381966,38.819,,,,A-E-350M-BCveg,A-E-350M-BCveg,A-E-350M-BCveg,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254236968,0.935993968,28.244,,,,A-E-350M-Buf 1,A-E-350M-Buf 1,A-E-350M-Buf 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254126998,0.936239976,39.299,,,,A-E-350M-Buffe,A-E-350M-Buffe,A-E-350M-Buffe,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255442034,0.935164997,42.424,,,,A-E-350M-OPC 1,A-E-350M-OPC 1,A-E-350M-OPC 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25554597,0.934860986,46.029,,,,A-E-350M-OPC 2,A-E-350M-OPC 2,A-E-350M-OPC 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255656024,0.935069025,46.269,,,,A-E-350M-OPC 3,A-E-350M-OPC 3,A-E-350M-OPC 3,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.255476987,0.935026025,44.106,,,,A-E-350M-OPcor,A-E-350M-OPcor,A-E-350M-OPcor,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.25537104,0.934965005,42.664,,,,A-E-350M-OPCve,A-E-350M-OPCve,A-E-350M-OPCve,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254522037,0.93538804,42.183,,,,A-E-350M-OPE 1,A-E-350M-OPE 1,A-E-350M-OPE 1,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
101.254713982,0.935507985,39.54,,,,A-E-350M-OPE 2,A-E-350M-OPE 2,A-E-350M-OPE 2,,,,,,,,"Navaid, Red",,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      
