river,treatment,transect,num,og.width.cm,date,measured.width.cm
PLPE,A,0,1,670,18/07/2019,670
PLPE,A,0,1,670,01/08/2019,670
PLPE,A,0,1,670,15/08/2019,670
PLPE,A,0,1,670,29/08/2019,670
PLPE,A,0,1,670,12/09/2019,670
PLPE,A,0,1,670,26/09/2019,670
PLPE,A,0,1,670,10/10/2019,670
PLPE,A,0,1,670,24/10/2019,670
PLPE,A,0,1,670,07/11/2019,670
PLPE,A,0,1,670,21/11/2019,670
PLPE,A,0,1,670,05/12/2019,670
PLPE,A,0,1,670,19/12/2019,670
PLPE,A,0,1,670,02/01/2020,670
PLPE,A,0,1,670,16/01/2020,670
PLPE,A,0,1,670,30/01/2020,670
PLPE,A,0,1,670,13/02/2020,670
PLPE,A,0,1,670,27/02/2020,670
PLPE,A,0,1,670,12/03/2020,670
PLPE,A,0,1,670,09/04/2020,670
PLPE,A,0,1,670,23/04/2020,670
PLPE,A,0,1,670,08/04/2020,670
PLPE,A,0,1,670,22/05/2020,670
PLPE,A,0,1,670,05/06/2020,670
PLPE,A,0,1,670,18/06/2020,670
PLPE,A,0,1,670,02/07/2020,670
PLPE,A,0,1,670,18/07/2020,670
PLPE,A,0,1,670,30/07/2020,670
PLPE,A,0,1,670,14/08/2020,670
PLPE,A,0,1,670,29/08/2020,670
PLPE,A,0,1,670,12/09/2020,670
PLPE,A,0,1,670,28/09/2020,670
PLPE,A,0,1,670,09/10/2020,670
PLPE,A,0,1,670,22/10/2020,670
PLPE,A,0,1,670,06/11/2020,670
PLPE,A,0,1,670,19/11/2020,670
PLPE,A,0,1,670,05/12/2020,670
PLPE,A,0,1,670,21/12/2020,670
PLPE,A,0,1,670,05/01/2021,670
PLPE,A,0,1,670,21/01/2021,670
PLPE,A,0,1,670,04/02/2021,670
PLPE,A,0,1,670,26/02/2021,670
PLPE,A,0,1,670,10/03/2021,670
PLPE,A,0,1,670,24/03/2021,670
PLPE,A,0,1,670,19/04/2021,670
PLPE,A,0,1,670,03/05/2021,670
PLPE,A,0,1,670,21/05/2021,670
PLPE,A,0,1,670,04/06/2021,670
PLPE,A,0,1,670,25/06/2021,670
PLPE,A,0,1,670,08/07/2021,670
PLPE,A,0,1,670,23/07/2021,670
PLPE,A,0,1,670,13/08/2021,670
PLPE,A,0,1,670,26/08/2021,670
PLPE,A,0,1,670,14/09/2021,670
PLPE,A,0,1,670,28/09/2021,670
PLPE,A,0,1,670,27/10/2021,670
PLPE,A,0,1,670,13/11/2021,670
PLPE,A,0,1,670,19/11/2021,670
PLPE,A,0,1,670,16/12/2021,670
PLPE,A,0,1,670,29/12/2021,670
PLPE,A,0,1,670,25/02/2022,670
PLPE,A,0,1,670,25/03/2022,670
PLPE,A,0,1,670,02/04/2022,670
PLPE,A,0,1,670,27/07/2022,670
PLPE,A,0,1,670,18/08/2022,670
PLPE,A,0,1,670,31/08/2022,670
PLPE,A,0,1,670,19/09/2022,670
PLPE,A,0,1,670,23/10/2022,670
PLPE,A,0,1,670,30/11/2022,670
PLPE,A,0,1,670,20/12/2022,670
PLPE,A,0,1,670,30/12/2022,670
PLPE,A,0,1,670,28/01/2023,670
PLPE,A,0,1,670,23/02/2023,670
PLPE,A,0,1,670,19/03/2023,670
PLPE,A,0,1,670,28/03/2023,670
PLPE,A,0,1,670,18/04/2023,670
PLPE,A,0,1,670,28/04/2023,670
PLPE,A,0,1,670,16/05/2023,670
PLPE,A,0,1,670,29/05/2023,670
PLPE,A,0,1,670,11/07/2023,670
PLPE,A,0,1,670,01/08/2023,670
PLPE,A,0,1,670,23/08/2023,670
PLPE,A,0,1,670,18/09/2023,670
PLPE,A,0,1,670,28/09/2023,670
PLPE,A,0,1,670,18/10/2023,670
PLPE,A,0,1,670,30/11/2023,670
PLPE,A,0,1,670,30/12/2023,670
PLPE,A,0,1,670,30/01/2024,670
PLPE,A,0,1,670,14/02/2024,670
PLPE,A,0,1,670,18/03/2024,670
PLPE,A,0,1,670,01/04/2024,670
PLPE,A,0,1,670,20/04/2024,670
PLPE,A,0,1,670,02/05/2024,670
PLPE,A,0,1,670,21/05/2024,670
PLPE,A,0,1,670,03/06/2024,670
PLPE,A,0,1,670,21/06/2024,670
PLPE,A,0,1,670,01/07/2024,670
PLPE,A,0,1,670,19/07/2024,670
PLPE,A,0,1,670,22/08/2024,670
PLPE,A,0,1,670,31/08/2024,670
PLPE,A,0,1,670,19/09/2024,670
PLPE,A,0,1,670,30/09/2024,670
PLPE,A,0,1,670,19/10/2024,670
PLPE,A,0,1,670,30/10/2024,670
PLPE,A,0,1,670,19/11/2024,670
PLPE,A,0,1,670,30/11/2024,670
PLPE,A,0,1,670,20/12/2024,670
PLPE,A,0,1,670,31/12/2024,670
PLPE,A,50,2,614,18/07/2019,742
PLPE,A,50,2,614,01/08/2019,742
PLPE,A,50,2,614,15/08/2019,742
PLPE,A,50,2,614,29/08/2019,742
PLPE,A,50,2,614,12/09/2019,755
PLPE,A,50,2,614,26/09/2019,755
PLPE,A,50,2,614,10/10/2019,756
PLPE,A,50,2,614,24/10/2019,756
PLPE,A,50,2,614,07/11/2019,778
PLPE,A,50,2,614,21/11/2019,807
PLPE,A,50,2,614,05/12/2019,807
PLPE,A,50,2,614,19/12/2019,807
PLPE,A,50,2,614,02/01/2020,808
PLPE,A,50,2,614,16/01/2020,808
PLPE,A,50,2,614,30/01/2020,809
PLPE,A,50,2,614,13/02/2020,809
PLPE,A,50,2,614,27/02/2020,810
PLPE,A,50,2,614,12/03/2020,810
PLPE,A,50,2,614,09/04/2020,810
PLPE,A,50,2,614,23/04/2020,810
PLPE,A,50,2,614,08/04/2020,810
PLPE,A,50,2,614,22/05/2020,810
PLPE,A,50,2,614,05/06/2020,810
PLPE,A,50,2,614,18/06/2020,810
PLPE,A,50,2,614,02/07/2020,810
PLPE,A,50,2,614,18/07/2020,810
PLPE,A,50,2,614,30/07/2020,811
PLPE,A,50,2,614,14/08/2020,811
PLPE,A,50,2,614,29/08/2020,811
PLPE,A,50,2,614,12/09/2020,811
PLPE,A,50,2,614,28/09/2020,811
PLPE,A,50,2,614,09/10/2020,811
PLPE,A,50,2,614,22/10/2020,813
PLPE,A,50,2,614,06/11/2020,813
PLPE,A,50,2,614,19/11/2020,813
PLPE,A,50,2,614,05/12/2020,813
PLPE,A,50,2,614,21/12/2020,813
PLPE,A,50,2,614,05/01/2021,813
PLPE,A,50,2,614,21/01/2021,813
PLPE,A,50,2,614,04/02/2021,813
PLPE,A,50,2,614,26/02/2021,813
PLPE,A,50,2,614,10/03/2021,813
PLPE,A,50,2,614,24/03/2021,813
PLPE,A,50,2,614,19/04/2021,813
PLPE,A,50,2,614,03/05/2021,813
PLPE,A,50,2,614,21/05/2021,813
PLPE,A,50,2,614,04/06/2021,813
PLPE,A,50,2,614,25/06/2021,813
PLPE,A,50,2,614,08/07/2021,813
PLPE,A,50,2,614,23/07/2021,813
PLPE,A,50,2,614,13/08/2021,813
PLPE,A,50,2,614,26/08/2021,813
PLPE,A,50,2,614,14/09/2021,813
PLPE,A,50,2,614,28/09/2021,813
PLPE,A,50,2,614,27/10/2021,813
PLPE,A,50,2,614,13/11/2021,813
PLPE,A,50,2,614,19/11/2021,813
PLPE,A,50,2,614,16/12/2021,813
PLPE,A,50,2,614,29/12/2021,813
PLPE,A,50,2,614,25/02/2022,814
PLPE,A,50,2,614,25/03/2022,813
PLPE,A,50,2,614,02/04/2022,813
PLPE,A,50,2,614,27/07/2022,813
PLPE,A,50,2,614,18/08/2022,813
PLPE,A,50,2,614,31/08/2022,813
PLPE,A,50,2,614,19/09/2022,813
PLPE,A,50,2,614,23/10/2022,813
PLPE,A,50,2,614,30/11/2022,813
PLPE,A,50,2,614,20/12/2022,813
PLPE,A,50,2,614,30/12/2022,813
PLPE,A,50,2,614,28/01/2023,813
PLPE,A,50,2,614,23/02/2023,813
PLPE,A,50,2,614,19/03/2023,813
PLPE,A,50,2,614,28/03/2023,813
PLPE,A,50,2,614,18/04/2023,813
PLPE,A,50,2,614,28/04/2023,813
PLPE,A,50,2,614,16/05/2023,813
PLPE,A,50,2,614,29/05/2023,813
PLPE,A,50,2,614,11/07/2023,813
PLPE,A,50,2,614,01/08/2023,813
PLPE,A,50,2,614,23/08/2023,813
PLPE,A,50,2,614,18/09/2023,813
PLPE,A,50,2,614,28/09/2023,813
PLPE,A,50,2,614,18/10/2023,813
PLPE,A,50,2,614,30/11/2023,813
PLPE,A,50,2,614,30/12/2023,813
PLPE,A,50,2,614,30/01/2024,813
PLPE,A,50,2,614,14/02/2024,813
PLPE,A,50,2,614,18/03/2024,813
PLPE,A,50,2,614,01/04/2024,813
PLPE,A,50,2,614,20/04/2024,813
PLPE,A,50,2,614,02/05/2024,813
PLPE,A,50,2,614,21/05/2024,851
PLPE,A,50,2,614,03/06/2024,851
PLPE,A,50,2,614,21/06/2024,851
PLPE,A,50,2,614,01/07/2024,851
PLPE,A,50,2,614,19/07/2024,851
PLPE,A,50,2,614,22/08/2024,851
PLPE,A,50,2,614,31/08/2024,851
PLPE,A,50,2,614,19/09/2024,851
PLPE,A,50,2,614,30/09/2024,851
PLPE,A,50,2,614,19/10/2024,851
PLPE,A,50,2,614,30/10/2024,851
PLPE,A,50,2,614,19/11/2024,851
PLPE,A,50,2,614,30/11/2024,851
PLPE,A,50,2,614,20/12/2024,851
PLPE,A,50,2,614,31/12/2024,851
PLPE,A,100,3,565,18/07/2019,565
PLPE,A,100,3,565,01/08/2019,565
PLPE,A,100,3,565,15/08/2019,565
PLPE,A,100,3,565,29/08/2019,565
PLPE,A,100,3,565,12/09/2019,565
PLPE,A,100,3,565,26/09/2019,565
PLPE,A,100,3,565,10/10/2019,565
PLPE,A,100,3,565,24/10/2019,593
PLPE,A,100,3,565,07/11/2019,617
PLPE,A,100,3,565,21/11/2019,627
PLPE,A,100,3,565,05/12/2019,627
PLPE,A,100,3,565,19/12/2019,627
PLPE,A,100,3,565,02/01/2020,627
PLPE,A,100,3,565,16/01/2020,628
PLPE,A,100,3,565,30/01/2020,630
PLPE,A,100,3,565,13/02/2020,630
PLPE,A,100,3,565,27/02/2020,630
PLPE,A,100,3,565,12/03/2020,630
PLPE,A,100,3,565,09/04/2020,631
PLPE,A,100,3,565,23/04/2020,633
PLPE,A,100,3,565,08/04/2020,633
PLPE,A,100,3,565,22/05/2020,635
PLPE,A,100,3,565,05/06/2020,635
PLPE,A,100,3,565,18/06/2020,635
PLPE,A,100,3,565,02/07/2020,635
PLPE,A,100,3,565,18/07/2020,635
PLPE,A,100,3,565,30/07/2020,635
PLPE,A,100,3,565,14/08/2020,635
PLPE,A,100,3,565,29/08/2020,635
PLPE,A,100,3,565,12/09/2020,635
PLPE,A,100,3,565,28/09/2020,637
PLPE,A,100,3,565,09/10/2020,637
PLPE,A,100,3,565,22/10/2020,637
PLPE,A,100,3,565,06/11/2020,637
PLPE,A,100,3,565,19/11/2020,637
PLPE,A,100,3,565,05/12/2020,637
PLPE,A,100,3,565,21/12/2020,637
PLPE,A,100,3,565,05/01/2021,637
PLPE,A,100,3,565,21/01/2021,637
PLPE,A,100,3,565,04/02/2021,637
PLPE,A,100,3,565,26/02/2021,637
PLPE,A,100,3,565,10/03/2021,637
PLPE,A,100,3,565,24/03/2021,637
PLPE,A,100,3,565,19/04/2021,637
PLPE,A,100,3,565,03/05/2021,637
PLPE,A,100,3,565,21/05/2021,637
PLPE,A,100,3,565,04/06/2021,637
PLPE,A,100,3,565,25/06/2021,637
PLPE,A,100,3,565,08/07/2021,637
PLPE,A,100,3,565,23/07/2021,637
PLPE,A,100,3,565,13/08/2021,638
PLPE,A,100,3,565,26/08/2021,638
PLPE,A,100,3,565,14/09/2021,638
PLPE,A,100,3,565,28/09/2021,638
PLPE,A,100,3,565,27/10/2021,638
PLPE,A,100,3,565,13/11/2021,638
PLPE,A,100,3,565,19/11/2021,638
PLPE,A,100,3,565,16/12/2021,638
PLPE,A,100,3,565,29/12/2021,638
PLPE,A,100,3,565,25/02/2022,638
PLPE,A,100,3,565,25/03/2022,638
PLPE,A,100,3,565,02/04/2022,638
PLPE,A,100,3,565,27/07/2022,638
PLPE,A,100,3,565,18/08/2022,638
PLPE,A,100,3,565,31/08/2022,638
PLPE,A,100,3,565,19/09/2022,638
PLPE,A,100,3,565,23/10/2022,638
PLPE,A,100,3,565,30/11/2022,638
PLPE,A,100,3,565,20/12/2022,638
PLPE,A,100,3,565,30/12/2022,638
PLPE,A,100,3,565,28/01/2023,638
PLPE,A,100,3,565,23/02/2023,638
PLPE,A,100,3,565,19/03/2023,637
PLPE,A,100,3,565,28/03/2023,637
PLPE,A,100,3,565,18/04/2023,637
PLPE,A,100,3,565,28/04/2023,637
PLPE,A,100,3,565,16/05/2023,637
PLPE,A,100,3,565,29/05/2023,635
PLPE,A,100,3,565,11/07/2023,635
PLPE,A,100,3,565,01/08/2023,635
PLPE,A,100,3,565,23/08/2023,635
PLPE,A,100,3,565,18/09/2023,635
PLPE,A,100,3,565,28/09/2023,635
PLPE,A,100,3,565,18/10/2023,635
PLPE,A,100,3,565,30/11/2023,635
PLPE,A,100,3,565,30/12/2023,635
PLPE,A,100,3,565,30/01/2024,635
PLPE,A,100,3,565,14/02/2024,635
PLPE,A,100,3,565,18/03/2024,635
PLPE,A,100,3,565,01/04/2024,635
PLPE,A,100,3,565,20/04/2024,635
PLPE,A,100,3,565,02/05/2024,635
PLPE,A,100,3,565,21/05/2024,635
PLPE,A,100,3,565,03/06/2024,635
PLPE,A,100,3,565,21/06/2024,635
PLPE,A,100,3,565,01/07/2024,635
PLPE,A,100,3,565,19/07/2024,635
PLPE,A,100,3,565,22/08/2024,635
PLPE,A,100,3,565,31/08/2024,635
PLPE,A,100,3,565,19/09/2024,635
PLPE,A,100,3,565,30/09/2024,635
PLPE,A,100,3,565,19/10/2024,635
PLPE,A,100,3,565,30/10/2024,635
PLPE,A,100,3,565,19/11/2024,640
PLPE,A,100,3,565,30/11/2024,640
PLPE,A,100,3,565,20/12/2024,640
PLPE,A,100,3,565,31/12/2024,640
PLPE,A,150,4,643,18/07/2019,643
PLPE,A,150,4,643,01/08/2019,653
PLPE,A,150,4,643,15/08/2019,657
PLPE,A,150,4,643,29/08/2019,657
PLPE,A,150,4,643,12/09/2019,673
PLPE,A,150,4,643,26/09/2019,673
PLPE,A,150,4,643,10/10/2019,673
PLPE,A,150,4,643,24/10/2019,673
PLPE,A,150,4,643,07/11/2019,673
PLPE,A,150,4,643,21/11/2019,673
PLPE,A,150,4,643,05/12/2019,714
PLPE,A,150,4,643,19/12/2019,714
PLPE,A,150,4,643,02/01/2020,714
PLPE,A,150,4,643,16/01/2020,714
PLPE,A,150,4,643,30/01/2020,715
PLPE,A,150,4,643,13/02/2020,716
PLPE,A,150,4,643,27/02/2020,716
PLPE,A,150,4,643,12/03/2020,717
PLPE,A,150,4,643,09/04/2020,717
PLPE,A,150,4,643,23/04/2020,718
PLPE,A,150,4,643,08/04/2020,720
PLPE,A,150,4,643,22/05/2020,720
PLPE,A,150,4,643,05/06/2020,723
PLPE,A,150,4,643,18/06/2020,723
PLPE,A,150,4,643,02/07/2020,724
PLPE,A,150,4,643,18/07/2020,724
PLPE,A,150,4,643,30/07/2020,725
PLPE,A,150,4,643,14/08/2020,726
PLPE,A,150,4,643,29/08/2020,728
PLPE,A,150,4,643,12/09/2020,729
PLPE,A,150,4,643,28/09/2020,730
PLPE,A,150,4,643,09/10/2020,738
PLPE,A,150,4,643,22/10/2020,738
PLPE,A,150,4,643,06/11/2020,738
PLPE,A,150,4,643,19/11/2020,738
PLPE,A,150,4,643,05/12/2020,738
PLPE,A,150,4,643,21/12/2020,738
PLPE,A,150,4,643,05/01/2021,738
PLPE,A,150,4,643,21/01/2021,738
PLPE,A,150,4,643,04/02/2021,738
PLPE,A,150,4,643,26/02/2021,738
PLPE,A,150,4,643,10/03/2021,738
PLPE,A,150,4,643,24/03/2021,738
PLPE,A,150,4,643,19/04/2021,738
PLPE,A,150,4,643,03/05/2021,738
PLPE,A,150,4,643,21/05/2021,738
PLPE,A,150,4,643,04/06/2021,738
PLPE,A,150,4,643,25/06/2021,738
PLPE,A,150,4,643,08/07/2021,738
PLPE,A,150,4,643,23/07/2021,740
PLPE,A,150,4,643,13/08/2021,740
PLPE,A,150,4,643,26/08/2021,740
PLPE,A,150,4,643,14/09/2021,740
PLPE,A,150,4,643,28/09/2021,740
PLPE,A,150,4,643,27/10/2021,740
PLPE,A,150,4,643,13/11/2021,740
PLPE,A,150,4,643,19/11/2021,740
PLPE,A,150,4,643,16/12/2021,740
PLPE,A,150,4,643,29/12/2021,740
PLPE,A,150,4,643,25/02/2022,740
PLPE,A,150,4,643,25/03/2022,740
PLPE,A,150,4,643,02/04/2022,740
PLPE,A,150,4,643,27/07/2022,740
PLPE,A,150,4,643,18/08/2022,740
PLPE,A,150,4,643,31/08/2022,740
PLPE,A,150,4,643,19/09/2022,740
PLPE,A,150,4,643,23/10/2022,740
PLPE,A,150,4,643,30/11/2022,740
PLPE,A,150,4,643,20/12/2022,741
PLPE,A,150,4,643,30/12/2022,741
PLPE,A,150,4,643,28/01/2023,741
PLPE,A,150,4,643,23/02/2023,741
PLPE,A,150,4,643,19/03/2023,740
PLPE,A,150,4,643,28/03/2023,740
PLPE,A,150,4,643,18/04/2023,740
PLPE,A,150,4,643,28/04/2023,740
PLPE,A,150,4,643,16/05/2023,740
PLPE,A,150,4,643,29/05/2023,738
PLPE,A,150,4,643,11/07/2023,738
PLPE,A,150,4,643,01/08/2023,738
PLPE,A,150,4,643,23/08/2023,738
PLPE,A,150,4,643,18/09/2023,738
PLPE,A,150,4,643,28/09/2023,738
PLPE,A,150,4,643,18/10/2023,738
PLPE,A,150,4,643,30/11/2023,738
PLPE,A,150,4,643,30/12/2023,738
PLPE,A,150,4,643,30/01/2024,740
PLPE,A,150,4,643,14/02/2024,740
PLPE,A,150,4,643,18/03/2024,740
PLPE,A,150,4,643,01/04/2024,740
PLPE,A,150,4,643,20/04/2024,740
PLPE,A,150,4,643,02/05/2024,740
PLPE,A,150,4,643,21/05/2024,740
PLPE,A,150,4,643,03/06/2024,740
PLPE,A,150,4,643,21/06/2024,741
PLPE,A,150,4,643,01/07/2024,741
PLPE,A,150,4,643,19/07/2024,741
PLPE,A,150,4,643,22/08/2024,741
PLPE,A,150,4,643,31/08/2024,741
PLPE,A,150,4,643,19/09/2024,741
PLPE,A,150,4,643,30/09/2024,741
PLPE,A,150,4,643,19/10/2024,741
PLPE,A,150,4,643,30/10/2024,741
PLPE,A,150,4,643,19/11/2024,747
PLPE,A,150,4,643,30/11/2024,747
PLPE,A,150,4,643,20/12/2024,747
PLPE,A,150,4,643,31/12/2024,747
PLPE,A,200,5,561,18/07/2019,561
PLPE,A,200,5,561,01/08/2019,561
PLPE,A,200,5,561,15/08/2019,561
PLPE,A,200,5,561,29/08/2019,561
PLPE,A,200,5,561,12/09/2019,561
PLPE,A,200,5,561,26/09/2019,561
PLPE,A,200,5,561,10/10/2019,561
PLPE,A,200,5,561,24/10/2019,561
PLPE,A,200,5,561,07/11/2019,580
PLPE,A,200,5,561,21/11/2019,585
PLPE,A,200,5,561,05/12/2019,585
PLPE,A,200,5,561,19/12/2019,586
PLPE,A,200,5,561,02/01/2020,588
PLPE,A,200,5,561,16/01/2020,589
PLPE,A,200,5,561,30/01/2020,589
PLPE,A,200,5,561,13/02/2020,590
PLPE,A,200,5,561,27/02/2020,590
PLPE,A,200,5,561,12/03/2020,581
PLPE,A,200,5,561,09/04/2020,593
PLPE,A,200,5,561,23/04/2020,596
PLPE,A,200,5,561,08/04/2020,597
PLPE,A,200,5,561,22/05/2020,597
PLPE,A,200,5,561,05/06/2020,598
PLPE,A,200,5,561,18/06/2020,599
PLPE,A,200,5,561,02/07/2020,599
PLPE,A,200,5,561,18/07/2020,599
PLPE,A,200,5,561,30/07/2020,601
PLPE,A,200,5,561,14/08/2020,601
PLPE,A,200,5,561,29/08/2020,601
PLPE,A,200,5,561,12/09/2020,604
PLPE,A,200,5,561,28/09/2020,604
PLPE,A,200,5,561,09/10/2020,604
PLPE,A,200,5,561,22/10/2020,607
PLPE,A,200,5,561,06/11/2020,611
PLPE,A,200,5,561,19/11/2020,621
PLPE,A,200,5,561,05/12/2020,621
PLPE,A,200,5,561,21/12/2020,621
PLPE,A,200,5,561,05/01/2021,621
PLPE,A,200,5,561,21/01/2021,621
PLPE,A,200,5,561,04/02/2021,621
PLPE,A,200,5,561,26/02/2021,623
PLPE,A,200,5,561,10/03/2021,623
PLPE,A,200,5,561,24/03/2021,623
PLPE,A,200,5,561,19/04/2021,622
PLPE,A,200,5,561,03/05/2021,622
PLPE,A,200,5,561,21/05/2021,622
PLPE,A,200,5,561,04/06/2021,624
PLPE,A,200,5,561,25/06/2021,624
PLPE,A,200,5,561,08/07/2021,626
PLPE,A,200,5,561,23/07/2021,626
PLPE,A,200,5,561,13/08/2021,626
PLPE,A,200,5,561,26/08/2021,626
PLPE,A,200,5,561,14/09/2021,626
PLPE,A,200,5,561,28/09/2021,626
PLPE,A,200,5,561,27/10/2021,626
PLPE,A,200,5,561,13/11/2021,626
PLPE,A,200,5,561,19/11/2021,626
PLPE,A,200,5,561,16/12/2021,626
PLPE,A,200,5,561,29/12/2021,626
PLPE,A,200,5,561,25/02/2022,626
PLPE,A,200,5,561,25/03/2022,626
PLPE,A,200,5,561,02/04/2022,626
PLPE,A,200,5,561,27/07/2022,626
PLPE,A,200,5,561,18/08/2022,627
PLPE,A,200,5,561,31/08/2022,627
PLPE,A,200,5,561,19/09/2022,627
PLPE,A,200,5,561,23/10/2022,627
PLPE,A,200,5,561,30/11/2022,627
PLPE,A,200,5,561,20/12/2022,627
PLPE,A,200,5,561,30/12/2022,627
PLPE,A,200,5,561,28/01/2023,627
PLPE,A,200,5,561,23/02/2023,627
PLPE,A,200,5,561,19/03/2023,627
PLPE,A,200,5,561,28/03/2023,627
PLPE,A,200,5,561,18/04/2023,627
PLPE,A,200,5,561,28/04/2023,627
PLPE,A,200,5,561,16/05/2023,627
PLPE,A,200,5,561,29/05/2023,625
PLPE,A,200,5,561,11/07/2023,625
PLPE,A,200,5,561,01/08/2023,625
PLPE,A,200,5,561,23/08/2023,625
PLPE,A,200,5,561,18/09/2023,625
PLPE,A,200,5,561,28/09/2023,625
PLPE,A,200,5,561,18/10/2023,625
PLPE,A,200,5,561,30/11/2023,625
PLPE,A,200,5,561,30/12/2023,625
PLPE,A,200,5,561,30/01/2024,636
PLPE,A,200,5,561,14/02/2024,636
PLPE,A,200,5,561,18/03/2024,636
PLPE,A,200,5,561,01/04/2024,636
PLPE,A,200,5,561,20/04/2024,636
PLPE,A,200,5,561,02/05/2024,636
PLPE,A,200,5,561,21/05/2024,636
PLPE,A,200,5,561,03/06/2024,636
PLPE,A,200,5,561,21/06/2024,636
PLPE,A,200,5,561,01/07/2024,636
PLPE,A,200,5,561,19/07/2024,636
PLPE,A,200,5,561,22/08/2024,636
PLPE,A,200,5,561,31/08/2024,636
PLPE,A,200,5,561,19/09/2024,636
PLPE,A,200,5,561,30/09/2024,636
PLPE,A,200,5,561,19/10/2024,636
PLPE,A,200,5,561,30/10/2024,636
PLPE,A,200,5,561,19/11/2024,638
PLPE,A,200,5,561,30/11/2024,638
PLPE,A,200,5,561,20/12/2024,638
PLPE,A,200,5,561,31/12/2024,638
PLPE,A,250,6,572,18/07/2019,572
PLPE,A,250,6,572,01/08/2019,572
PLPE,A,250,6,572,15/08/2019,572
PLPE,A,250,6,572,29/08/2019,572
PLPE,A,250,6,572,12/09/2019,572
PLPE,A,250,6,572,26/09/2019,572
PLPE,A,250,6,572,10/10/2019,572
PLPE,A,250,6,572,24/10/2019,777
PLPE,A,250,6,572,07/11/2019,777
PLPE,A,250,6,572,21/11/2019,782
PLPE,A,250,6,572,05/12/2019,782
PLPE,A,250,6,572,19/12/2019,785
PLPE,A,250,6,572,02/01/2020,792
PLPE,A,250,6,572,16/01/2020,792
PLPE,A,250,6,572,30/01/2020,792
PLPE,A,250,6,572,13/02/2020,792
PLPE,A,250,6,572,27/02/2020,792
PLPE,A,250,6,572,12/03/2020,792
PLPE,A,250,6,572,09/04/2020,792
PLPE,A,250,6,572,23/04/2020,792
PLPE,A,250,6,572,08/04/2020,792
PLPE,A,250,6,572,22/05/2020,792
PLPE,A,250,6,572,05/06/2020,792
PLPE,A,250,6,572,18/06/2020,792
PLPE,A,250,6,572,02/07/2020,792
PLPE,A,250,6,572,18/07/2020,792
PLPE,A,250,6,572,30/07/2020,792
PLPE,A,250,6,572,14/08/2020,792
PLPE,A,250,6,572,29/08/2020,792
PLPE,A,250,6,572,12/09/2020,792
PLPE,A,250,6,572,28/09/2020,792
PLPE,A,250,6,572,09/10/2020,792
PLPE,A,250,6,572,22/10/2020,792
PLPE,A,250,6,572,06/11/2020,792
