timepoint,date,river,treatment,side,transect,point,time,station,Temp.C,RH.perncen
planting,22/06/2018,PLPE,A,na,na,na,18:00:01,sub,28.394,53.8
planting,22/06/2018,PLPE,A,na,na,na,19:00:01,sub,28.394,54.6
planting,22/06/2018,PLPE,A,na,na,na,17:00:01,sub,28.32,53.7
planting,22/06/2018,PLPE,A,na,na,na,20:00:01,sub,28.295,58.9
planting,22/06/2018,PLPE,A,na,na,na,15:00:01,sub,28.122,57.5
planting,22/06/2018,PLPE,A,na,na,na,21:00:01,sub,28.122,62.3
planting,22/06/2018,PLPE,A,na,na,na,22:00:01,sub,27.974,64.6
planting,22/06/2018,PLPE,A,na,na,na,16:00:01,sub,27.875,51.8
planting,22/06/2018,PLPE,A,na,na,na,23:00:01,sub,27.801,66.6
planting,22/06/2018,PLPE,A,na,na,na,14:00:01,sub,27.604,54.6
planting,22/06/2018,PLPE,A,na,na,na,13:00:01,sub,27.53,56.1
planting,22/06/2018,PLPE,A,na,na,na,12:00:01,sub,27.456,56.9
planting,22/06/2018,PLPE,A,na,na,na,11:00:01,sub,27.161,56.6
planting,22/06/2018,PLPE,A,na,na,na,10:00:01,sub,26.671,55.1
planting,22/06/2018,PLPE,A,na,na,na,09:00:01,sub,26.549,54.3
planting,23/06/2018,PLPE,A,na,na,na,18:00:01,sub,28.27,69.8
planting,23/06/2018,PLPE,A,na,na,na,17:00:01,sub,28.245,68.9
planting,23/06/2018,PLPE,A,na,na,na,19:00:01,sub,28.171,70.6
planting,23/06/2018,PLPE,A,na,na,na,16:00:01,sub,28.097,68.5
planting,23/06/2018,PLPE,A,na,na,na,20:00:01,sub,28.048,71.5
planting,23/06/2018,PLPE,A,na,na,na,21:00:01,sub,27.899,72.4
planting,23/06/2018,PLPE,A,na,na,na,15:00:01,sub,27.85,68.1
planting,23/06/2018,PLPE,A,na,na,na,22:00:01,sub,27.727,73.1
planting,23/06/2018,PLPE,A,na,na,na,14:00:01,sub,27.628,67.9
planting,23/06/2018,PLPE,A,na,na,na,00:00:01,sub,27.604,67.8
planting,23/06/2018,PLPE,A,na,na,na,23:00:01,sub,27.481,73.6
planting,23/06/2018,PLPE,A,na,na,na,01:00:01,sub,27.431,69
planting,23/06/2018,PLPE,A,na,na,na,02:00:01,sub,27.333,69.9
planting,23/06/2018,PLPE,A,na,na,na,03:00:01,sub,27.259,70.5
planting,23/06/2018,PLPE,A,na,na,na,13:00:01,sub,27.235,68.3
planting,23/06/2018,PLPE,A,na,na,na,04:00:01,sub,27.186,71.1
planting,23/06/2018,PLPE,A,na,na,na,05:00:01,sub,27.136,72
planting,23/06/2018,PLPE,A,na,na,na,06:00:01,sub,27.014,73.2
planting,23/06/2018,PLPE,A,na,na,na,12:00:01,sub,26.916,67.1
planting,23/06/2018,PLPE,A,na,na,na,10:00:01,sub,26.744,58.8
planting,23/06/2018,PLPE,A,na,na,na,11:00:01,sub,26.646,64.8
planting,23/06/2018,PLPE,A,na,na,na,08:00:01,sub,26.524,69.8
planting,23/06/2018,PLPE,A,na,na,na,09:00:01,sub,26.524,65
planting,23/06/2018,PLPE,A,na,na,na,07:00:01,sub,26.426,69.9
planting,24/06/2018,PLPE,A,na,na,na,18:00:01,sub,30.192,67.5
planting,24/06/2018,PLPE,A,na,na,na,17:00:01,sub,30.167,67.3
planting,24/06/2018,PLPE,A,na,na,na,19:00:01,sub,30.066,68.2
planting,24/06/2018,PLPE,A,na,na,na,16:00:01,sub,29.966,68.3
planting,24/06/2018,PLPE,A,na,na,na,20:00:01,sub,29.89,69
planting,24/06/2018,PLPE,A,na,na,na,21:00:01,sub,29.69,69.7
planting,24/06/2018,PLPE,A,na,na,na,15:00:01,sub,29.615,69.3
planting,24/06/2018,PLPE,A,na,na,na,22:00:01,sub,29.464,70.3
planting,24/06/2018,PLPE,A,na,na,na,23:00:01,sub,29.24,70.9
planting,24/06/2018,PLPE,A,na,na,na,14:00:01,sub,29.14,70.5
planting,24/06/2018,PLPE,A,na,na,na,13:00:01,sub,28.493,71.8
planting,24/06/2018,PLPE,A,na,na,na,12:00:01,sub,27.801,72.9
planting,24/06/2018,PLPE,A,na,na,na,00:00:01,sub,27.186,73.8
planting,24/06/2018,PLPE,A,na,na,na,11:00:01,sub,27.063,73.9
planting,24/06/2018,PLPE,A,na,na,na,01:00:01,sub,26.916,74
planting,24/06/2018,PLPE,A,na,na,na,02:00:01,sub,26.646,74.1
planting,24/06/2018,PLPE,A,na,na,na,10:00:01,sub,26.5,74.8
planting,24/06/2018,PLPE,A,na,na,na,03:00:01,sub,26.426,74.1
planting,24/06/2018,PLPE,A,na,na,na,04:00:01,sub,26.28,74
planting,24/06/2018,PLPE,A,na,na,na,05:00:01,sub,26.158,74
planting,24/06/2018,PLPE,A,na,na,na,09:00:01,sub,26.109,75
planting,24/06/2018,PLPE,A,na,na,na,06:00:01,sub,26.012,74.1
planting,24/06/2018,PLPE,A,na,na,na,08:00:01,sub,25.963,74.6
planting,24/06/2018,PLPE,A,na,na,na,07:00:01,sub,25.89,74.3
planting,25/06/2018,PLPE,A,na,na,na,00:00:01,sub,29.04,71.5
planting,25/06/2018,PLPE,A,na,na,na,01:00:01,sub,28.419,71.6
planting,25/06/2018,PLPE,A,na,na,na,02:00:01,sub,27.751,71.5
planting,25/06/2018,PLPE,A,na,na,na,16:00:01,sub,27.358,47.8
planting,25/06/2018,PLPE,A,na,na,na,03:00:01,sub,27.284,71.7
planting,25/06/2018,PLPE,A,na,na,na,17:00:01,sub,27.136,47.4
planting,25/06/2018,PLPE,A,na,na,na,19:00:01,sub,26.989,45.7
planting,25/06/2018,PLPE,A,na,na,na,04:00:01,sub,26.94,72.1
planting,25/06/2018,PLPE,A,na,na,na,20:00:01,sub,26.94,51.7
planting,25/06/2018,PLPE,A,na,na,na,18:00:01,sub,26.842,42.8
planting,25/06/2018,PLPE,A,na,na,na,21:00:01,sub,26.842,57.6
