timepoint,date,river,treatment,side,transect,point,Line_transect,Frog.abundance,Frog.richness,Duttaphrynus melanostictus,Fejervarya cancrivora,Fejervarya limnocharis,Hylarana parvaccola,Hylarana erythraea,Hylarana glandulosa,Hylarana miopus,Hylarana nicobariensis,Kaloula baleata,Kaloula pulchra,Leptobrachium nigrops,Microhyla sp.,Polypedates leucomystax,NA
baseline,12/02/2019,KNDE,F,West,50m,buffer.core,F-W-50-BC,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
baseline,12/02/2019,KNDE,F,West,50m,OP.core,F-W-50-OPC,5,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0
baseline,12/02/2019,KNDE,F,West,50m,OP.edge,F-W-50-OPE,4,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0
baseline,12/02/2019,KNDE,F,West,50m,river,F-W-50-RV,19,5,0,0,0,6,3,2,0,1,0,0,0,0,7,0
baseline,13/02/2019,KNDE,F,West,250m,buffer.core,F-W-250-BC,20,2,0,0,0,19,0,0,0,0,0,0,0,1,0,0
baseline,13/02/2019,KNDE,F,West,250m,OP.core,F-W-250-OPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,13/02/2019,KNDE,F,West,250m,OP.edge,F-W-250-OPE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
baseline,13/02/2019,KNDE,F,West,250m,river,F-W-250-RV,8,2,0,0,0,7,0,0,0,0,0,0,0,0,1,0
baseline,18/02/2019,KNDE,F,East,150m,buffer.core,F-E-150-BC,6,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
baseline,18/02/2019,KNDE,F,East,150m,OP.core,F-E-150-OPC,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0
baseline,18/02/2019,KNDE,F,East,150m,OP.edge,F-E-150-OPE,16,3,0,0,3,0,0,0,0,0,0,0,0,3,10,0
baseline,18/02/2019,KNDE,F,East,150m,river,F-E-150-RV,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
baseline,22/02/2019,KNDE,F,East,350m,buffer.core,F-E-350-BC,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
baseline,22/02/2019,KNDE,F,East,350m,OP.core,F-E-350-OPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,22/02/2019,KNDE,F,East,350m,OP.edge,F-E-350-OPE,7,2,0,0,0,6,0,0,0,0,0,0,0,0,1,0
baseline,22/02/2019,KNDE,F,East,350m,river,F-E-350-RV,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
post1,18/02/2021,KNDE,F,West,50m,buffer.core,F-W-50-BC,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
post1,18/02/2021,KNDE,F,West,50m,OP.core,F-W-50-OPC,16,5,0,1,0,7,0,2,0,4,0,0,0,0,2,0
post1,18/02/2021,KNDE,F,West,50m,OP.edge,F-W-50-OPE,7,3,0,0,0,5,0,1,0,0,0,0,0,1,0,0
post1,18/02/2021,KNDE,F,West,50m,river,F-W-50-RV,5,3,0,0,0,0,0,0,2,0,0,0,0,1,2,0
post1,26/02/2021,KNDE,F,East,150m,buffer.core,F-E-150-BC,10,6,0,1,1,0,0,1,0,0,0,1,0,1,5,0
post1,26/02/2021,KNDE,F,East,150m,OP.core,F-E-150-OPC,4,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0
post1,26/02/2021,KNDE,F,East,150m,OP.edge,F-E-150-OPE,6,5,0,0,1,0,0,0,0,1,0,1,0,1,2,0
post1,26/02/2021,KNDE,F,East,150m,river,F-E-150-RV,9,4,0,1,1,0,0,0,0,0,0,1,0,0,6,0
post1,03/03/2021,KNDE,F,East,350m,buffer.core,F-E-350-BC,7,5,0,3,0,0,0,0,1,1,0,0,0,1,1,0
post1,03/03/2021,KNDE,F,East,350m,OP.core,F-E-350-OPC,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
