timepoint,date.collected,river,treatment,side,transect,point,og.site.label,time.collected,wet.weight.g,dry.weight.g,date.measured,notes,measurer,typist,date.typed,Checked by?,Date checked?
baseline,08/12/2017,PLPE,A,East,150m,buffer.core,A-East-150m-BufferCore,15:07,235,74,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,A,East,150m,buffer.core,A-E-150-BC,09:40,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,A,East,150m,buffer.core,A-E-150-BC,,380,77,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,A,East,150m,OP.core,A-East-150m-OpCore,14:58,415,101,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,A,East,150m,OP.core,A-E-150-OPC,10:02,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,A,East,150m,OP.core,A-E-150-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,A,East,150m,OP.edge,A-East-150m-OpEdge,15:15,236,65,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,A,East,150m,OP.edge,A-E-150-OPE,09:43,517,119,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,A,East,150m,OP.edge,A-E-150-OPE,,550,103,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,A,West,250m,buffer.core,A-west-250m-BufferCore,08:57,579,120,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,A,West,250m,buffer.core,A-W-250-BC,10:21,494,92,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,A,West,250m,buffer.core,A-W-250-BC,,641,125,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,A,West,250m,OP.core,A-west-250m-OpCore,08:48,131,50,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,A,West,250m,OP.core,A-W-250-OPC,10:34,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,A,West,250m,OP.core,A-W-250-OPC,,275,132,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,A,West,250m,OP.edge,A-West-250m-OpEdge,08:50,160,48,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,A,West,250m,OP.edge,A-W-250-OPE,10:30,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,A,West,250m,OP.edge,A-W-250-OPE,,559,116,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,A,East,350m,buffer.core,A-East-350m-BufferCore,10:32,332,78,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,A,East,350m,buffer.core,A-E-350-BC,08:30,257,60,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,A,East,350m,buffer.core,A-E-350-BC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,A,East,350m,OP.core,A-East-350m-OpCore,15:50,336,90,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,A,East,350m,OP.core,A-E-350-OPC,10:04,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,A,East,350m,OP.core,A-E-350-OPC,,600,133,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,A,East,350m,OP.edge,A-East-350m-OpEdge,10:38,323,71,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,A,East,350m,OP.edge,A-E-350-OPE,08:36,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,A,East,350m,OP.edge,A-E-350-OPE,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,A,West,400m,buffer.core,A-West-400m-BufferCore,15:23,621,135,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,A,West,400m,buffer.core,A-W-400-BC,09:57,659,135,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,A,East,400m,buffer.core,A-E-400-BC,,666,120,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
