timepoint,date,river,treatment,transect,side,point,veg.plot,number,replicate,position,x.coord,y.coord,original.mm,measure.mm,change.mm
baseline,23/02/2019,KNDE,F,150,East,buffer.core,BC-1,1,1,Circle,23,23,150,150,0
baseline,23/02/2019,KNDE,F,150,East,buffer.core,BC-1,1,1,Harvesting path,20,25,150,150,0
baseline,23/02/2019,KNDE,F,150,East,buffer.core,BC-1,1,1,Windrow,13,1,150,150,0
baseline,23/02/2019,KNDE,F,150,East,buffer.core,BC-1,1,2,Circle,18,18,150,150,0
baseline,23/02/2019,KNDE,F,150,East,buffer.core,BC-1,1,2,Harvesting path,10,6,150,150,0
baseline,23/02/2019,KNDE,F,150,East,buffer.core,BC-1,1,2,Windrow,15,25,150,150,0
baseline,23/02/2019,KNDE,F,150,East,buffer.core,BC-1,1,3,Circle,23,13,150,150,0
baseline,23/02/2019,KNDE,F,150,East,buffer.core,BC-1,1,3,Harvesting path,5,13,150,150,0
baseline,23/02/2019,KNDE,F,150,East,buffer.core,BC-1,1,3,Windrow,12,7,150,150,0
baseline,23/02/2019,KNDE,H,350,East,OP.core,OPC-2,10,1,Circle,2,15,150,150,0
baseline,23/02/2019,KNDE,H,350,East,OP.core,OPC-2,10,1,Harvesting path,8,15,150,150,0
baseline,23/02/2019,KNDE,H,350,East,OP.core,OPC-2,10,1,Windrow,11,17,150,150,0
baseline,23/02/2019,KNDE,H,350,East,OP.core,OPC-2,10,2,Circle,17,3,150,150,0
baseline,23/02/2019,KNDE,H,350,East,OP.core,OPC-2,10,2,Harvesting path,20,1,150,150,0
baseline,23/02/2019,KNDE,H,350,East,OP.core,OPC-2,10,2,Windrow,5,3,150,150,0
baseline,23/02/2019,KNDE,H,350,East,OP.core,OPC-2,10,3,Circle,23,8,150,150,0
baseline,23/02/2019,KNDE,H,350,East,OP.core,OPC-2,10,3,Harvesting path,22,22,150,150,0
baseline,23/02/2019,KNDE,H,350,East,OP.core,OPC-2,10,3,Windrow,25,19,150,150,0
baseline,23/02/2019,KNDE,H,150,East,buffer.core,BC-1,11,1,Circle,2,3,150,150,0
baseline,23/02/2019,KNDE,H,150,East,buffer.core,BC-1,11,1,Harvesting path,23,19,150,150,0
baseline,23/02/2019,KNDE,H,150,East,buffer.core,BC-1,11,1,Windrow,13,14,150,150,0
baseline,23/02/2019,KNDE,H,150,East,buffer.core,BC-1,11,2,Circle,1,12,150,150,0
baseline,23/02/2019,KNDE,H,150,East,buffer.core,BC-1,11,2,Harvesting path,23,4,150,150,0
baseline,23/02/2019,KNDE,H,150,East,buffer.core,BC-1,11,2,Windrow,8,2,150,150,0
baseline,23/02/2019,KNDE,H,150,East,buffer.core,BC-1,11,3,Circle,25,6,150,150,0
baseline,23/02/2019,KNDE,H,150,East,buffer.core,BC-1,11,3,Harvesting path,4,11,150,150,0
baseline,23/02/2019,KNDE,H,150,East,buffer.core,BC-1,11,3,Windrow,11,24,150,150,0
baseline,23/02/2019,KNDE,H,350,East,buffer.core,BC-2,12,1,Circle,4,22,150,150,0
baseline,23/02/2019,KNDE,H,350,East,buffer.core,BC-2,12,1,Harvesting path,9,17,150,150,0
baseline,23/02/2019,KNDE,H,350,East,buffer.core,BC-2,12,1,Windrow,20,11,150,150,0
baseline,23/02/2019,KNDE,H,350,East,buffer.core,BC-2,12,2,Circle,4,12,150,150,0
baseline,23/02/2019,KNDE,H,350,East,buffer.core,BC-2,12,2,Harvesting path,9,6,150,150,0
baseline,23/02/2019,KNDE,H,350,East,buffer.core,BC-2,12,2,Windrow,12,21,150,150,0
baseline,23/02/2019,KNDE,H,350,East,buffer.core,BC-2,12,3,Circle,23,12,150,150,0
baseline,23/02/2019,KNDE,H,350,East,buffer.core,BC-2,12,3,Harvesting path,9,21,150,150,0
baseline,23/02/2019,KNDE,H,350,East,buffer.core,BC-2,12,3,Windrow,20,18,150,150,0
baseline,23/02/2019,KNDE,I,150,East,buffer.core,BC-1,13,1,Circle,11,6,150,150,0
baseline,23/02/2019,KNDE,I,150,East,buffer.core,BC-1,13,1,Harvesting path,1,17,150,150,0
baseline,23/02/2019,KNDE,I,150,East,buffer.core,BC-1,13,1,Windrow,21,6,150,150,0
baseline,23/02/2019,KNDE,I,150,East,buffer.core,BC-1,13,2,Circle,19,2,150,150,0
baseline,23/02/2019,KNDE,I,150,East,buffer.core,BC-1,13,2,Harvesting path,2,3,150,150,0
baseline,23/02/2019,KNDE,I,150,East,buffer.core,BC-1,13,2,Windrow,22,4,150,150,0
baseline,23/02/2019,KNDE,I,150,East,buffer.core,BC-1,13,3,Circle,3,24,150,150,0
baseline,23/02/2019,KNDE,I,150,East,buffer.core,BC-1,13,3,Harvesting path,15,23,150,150,0
