option,target,estimator,n,leaky_r2,nested_r2,baseline_r2,optimism,mean_dim,top_feats
vi,average_canopy_openness,OLS,48,0.18743709252544272,0.17720447682860607,-0.07714254793349995,0.010232615696836644,2.8,canopy_openness_DEM(10); range_DEM(5); cv_DEM(4); contrast_GLI(4)
vi,average_canopy_openness,RF_tuned,48,0.04824590819390151,0.040224261071656775,-0.07714254793349995,0.008021647122244735,2.8,canopy_openness_DEM(10); range_DEM(5); cv_DEM(4); contrast_GLI(4)
vi,Circle_change_mm,OLS,32,-0.12590088158657564,-0.2360729926858922,-0.11826117746318454,0.11017211109931657,3.0,canopy_openness_DEM(10); cv_DEM(6); contrast_ReNDVI(5); range_DEM(4)
vi,Circle_change_mm,RF_tuned,32,-0.07447512783754151,-0.11147902453611591,-0.11826117746318454,0.0370038966985744,3.0,canopy_openness_DEM(10); cv_DEM(6); contrast_ReNDVI(5); range_DEM(4)
vi,Harvesting_path_change_mm,OLS,32,-0.07662270570477525,-0.06424598999338871,-0.09130661836130138,-0.012376715711386543,3.0,canopy_openness_DEM(10); contrast_Clre(5); energy_NDVI(5); contrast_NDVI(4)
vi,Harvesting_path_change_mm,RF_tuned,32,-0.26159743321431517,-0.20801143078890472,-0.09130661836130138,-0.05358600242541045,3.0,canopy_openness_DEM(10); contrast_Clre(5); energy_NDVI(5); contrast_NDVI(4)
vi,Windrow_change_mm,OLS,32,-0.16743115777661366,-0.16175909916984832,-0.05903936292844136,-0.00567205860676534,3.0,canopy_openness_DEM(10); contrast_Clre(8); energy_Clre(6); range_DEM(2)
vi,Windrow_change_mm,RF_tuned,32,0.16166819537929733,0.010622379729043563,-0.05903936292844136,0.15104581565025377,3.0,canopy_openness_DEM(10); contrast_Clre(8); energy_Clre(6); range_DEM(2)
vi,average_change_mm,OLS,32,-0.06061824896250534,-0.05299961811841514,-0.11904984215003012,-0.007618630844090202,3.0,canopy_openness_DEM(10); energy_Clre(6); contrast_Clre(6); range_NDVI(3)
vi,average_change_mm,RF_tuned,32,0.21353695456453903,0.06200691856693907,-0.11904984215003012,0.15153003599759995,3.0,canopy_openness_DEM(10); energy_Clre(6); contrast_Clre(6); range_NDVI(3)
vi,average_seed_removed_proportion,OLS,48,-0.08164150672509418,-0.0992972301583388,-0.030866142581255085,0.01765572343324462,3.1,canopy_openness_DEM(10); contrast_GLI(6); cv_DEM(4); range_DEM(3)
vi,average_seed_removed_proportion,RF_tuned,48,-0.01130441200729182,-0.05378819352752484,-0.030866142581255085,0.04248378152023302,3.1,canopy_openness_DEM(10); contrast_GLI(6); cv_DEM(4); range_DEM(3)
bands,average_canopy_openness,OLS,48,0.04803862442173945,0.05095818761912929,-0.07714254793349995,-0.0029195631973898406,4.0,
bands,average_canopy_openness,RF_tuned,48,-0.0896149587699282,0.001480866081049026,-0.07714254793349995,-0.09109582485097723,4.0,
bands,Circle_change_mm,OLS,32,-0.1945440920313104,-0.1733219022935406,-0.11826117746318454,-0.021222189737769792,4.0,
bands,Circle_change_mm,RF_tuned,32,-0.16788584844108922,-0.23216955903119474,-0.11826117746318454,0.06428371059010551,4.0,
bands,Harvesting_path_change_mm,OLS,32,-0.17863877831651487,-0.16189976110699722,-0.09130661836130138,-0.016739017209517648,4.0,
bands,Harvesting_path_change_mm,RF_tuned,32,-0.10209146428775129,-0.06367901490786876,-0.09130661836130138,-0.03841244937988253,4.0,
bands,Windrow_change_mm,OLS,32,-0.2394983354201592,-0.24159548487391236,-0.05903936292844136,0.0020971494537531665,4.0,
