feature,type,H,p_raw,p_fdr,eta2,n,median_A,median_B,median_C,median_D
range_GLI,spectral,31.542,0.0000,0.0000,0.6487,48,0.5528,0.6206,0.4677,0.4239
homogeneity_ReNDVI,textural,23.380,0.0000,0.0004,0.4632,48,0.6185,0.7017,0.5875,0.5923
contrast_Clre,textural,23.322,0.0000,0.0004,0.4619,48,1.1390,0.0566,1.3071,1.2512
homogeneity_Clre,textural,23.186,0.0000,0.0004,0.4588,48,0.6855,0.9999,0.6709,0.6783
range_Clre,spectral,22.564,0.0000,0.0004,0.4446,48,1.8636,2.1909,1.5621,1.7880
energy_Clre,textural,22.301,0.0001,0.0004,0.4387,48,0.1957,0.9999,0.2012,0.2079
contrast_ReNDVI,textural,20.103,0.0002,0.0009,0.3887,48,1.7939,1.1559,2.1444,2.1619
range_ReNDVI,spectral,19.738,0.0002,0.0009,0.3804,48,0.3978,0.4889,0.3339,0.3825
mean_DEM,structural,19.156,0.0003,0.0011,0.3672,48,47.4861,40.6583,43.3599,34.4799
range_GNDVI,spectral,17.766,0.0005,0.0019,0.3356,48,0.2794,0.3292,0.2679,0.2936
energy_ReNDVI,textural,16.787,0.0008,0.0026,0.3133,48,0.1491,0.1928,0.1490,0.1492
cv_GLI,spectral,16.744,0.0008,0.0026,0.3124,48,0.5000,0.5408,0.4558,0.4534
canopy_openness_DEM,structural,16.279,0.0010,0.0030,0.3018,48,0.0166,0.3905,0.0237,0.8443
correlation_Clre,textural,16.077,0.0011,0.0030,0.2972,48,0.9010,0.6686,0.8808,0.8607
cv_GNDVI,spectral,14.576,0.0022,0.0058,0.2631,48,0.0539,0.0618,0.0515,0.0566
cv_Clre,spectral,14.139,0.0027,0.0066,0.2532,48,0.2541,0.2871,0.2176,0.2472
homogeneity_GNDVI,textural,13.336,0.0040,0.0091,0.2349,48,0.6909,0.6999,0.6560,0.6316
range_NDVI,spectral,12.603,0.0056,0.0121,0.2182,48,0.2540,0.2687,0.2381,0.2572
cv_ReNDVI,spectral,11.113,0.0111,0.0228,0.1844,48,0.1653,0.1883,0.1439,0.1636
correlation_ReNDVI,textural,9.960,0.0189,0.0369,0.1582,48,0.9083,0.8908,0.8882,0.8662
mean_NDVI,spectral,8.822,0.0317,0.0586,0.1323,48,0.8599,0.8725,0.8664,0.8604
cv_NDVI,spectral,8.734,0.0330,0.0586,0.1303,48,0.0498,0.0493,0.0447,0.0474
contrast_GNDVI,textural,8.418,0.0381,0.0646,0.1231,48,1.1033,1.1273,1.3067,1.5482
homogeneity_NDVI,textural,8.212,0.0418,0.0680,0.1184,48,0.7636,0.7781,0.7032,0.6889
energy_GNDVI,textural,7.961,0.0468,0.0731,0.1127,48,0.1730,0.1793,0.1594,0.1543
mean_GNDVI,spectral,7.842,0.0494,0.0741,0.1100,48,0.7808,0.7890,0.7824,0.7743
range_DEM,structural,6.332,0.0965,0.1394,0.0757,48,13.6053,16.3393,13.7003,11.2992
energy_GLI,textural,6.142,0.1049,0.1461,0.0714,48,0.2165,0.2772,0.2212,0.2179
correlation_GLI,textural,6.028,0.1103,0.1483,0.0688,48,0.8418,0.8123,0.8647,0.8578
energy_NDVI,textural,5.181,0.1590,0.2062,0.0496,48,0.2156,0.2365,0.1643,0.1727
contrast_NDVI,textural,5.110,0.1639,0.2062,0.0479,48,0.7336,0.7240,1.0775,1.1575
mean_GLI,spectral,3.570,0.3118,0.3800,0.0129,48,0.1710,0.1641,0.1528,0.1487
homogeneity_GLI,textural,3.394,0.3348,0.3957,0.0089,48,0.6745,0.7269,0.6929,0.6601
mean_Clre,spectral,3.029,0.3872,0.4354,0.0007,48,1.0816,1.0991,1.0620,1.0649
contrast_GLI,textural,3.006,0.3907,0.4354,0.0001,48,2.0071,1.5459,1.7287,2.2606
cv_DEM,structural,1.710,0.6347,0.6347,0.0000,48,0.0630,0.0710,0.0601,0.0615
mean_ReNDVI,spectral,2.236,0.5250,0.5634,0.0000,48,0.3468,0.3479,0.3441,0.3442
correlation_GNDVI,textural,2.187,0.5345,0.5634,0.0000,48,0.9338,0.9325,0.9260,0.9223
correlation_NDVI,textural,1.802,0.6145,0.6307,0.0000,48,0.9522,0.9383,0.9437,0.9444
